index,macaddess,x,y,row,col,firstlocatedtime,lastlocatedtime
0,3c:a9:f4:29:f0:c8,180.54,147.54,19,15,2015-03-18 00:12:59,2015-03-18 00:42:30
1,3c:15:c2:e0:dd:f4,179.04,157.92,18,16,2015-03-17 22:52:51,2015-03-18 00:46:01
2,3c:a9:f4:7f:27:e8,188.21,100.3,19,11,2015-03-17 23:12:44,2015-03-18 00:44:47
3,e8:2a:ea:05:ca:58,181.49,144.57,19,15,2015-03-17 23:37:50,2015-03-18 00:44:59
4,d0:23:db:bf:54:8c,184.26,26.04,19,3,2015-03-17 11:13:11,2015-03-18 00:46:07
5,24:77:03:75:8e:b4,182.5,140.08,19,15,2015-03-17 17:12:27,2015-03-18 00:44:01
6,24:77:03:d3:f8:50,180.42,149.84,19,15,2015-03-17 22:27:42,2015-03-18 00:33:50
7,24:77:03:fc:d4:f8,181.44,124.95,19,13,2015-03-18 00:17:58,2015-03-18 00:44:49
8,bc:f5:ac:fd:f4:c0,177.71,167.4,18,17,2015-03-18 00:33:12,2015-03-18 00:41:48
9,24:77:03:6c:09:24,180.15,141.49,19,15,2015-03-17 18:47:21,2015-03-18 00:45:59
10,24:77:03:6e:f4:dc,179.25,156.82,18,16,2015-03-18 00:32:52,2015-03-18 00:32:52
11,24:77:03:f9:cf:24,186.08,48.57,19,5,2015-03-17 23:53:02,2015-03-18 00:45:49
12,d0:22:be:0a:c6:0a,181.36,48.21,19,5,2015-03-18 00:02:54,2015-03-18 00:46:03
13,a0:88:69:08:b1:d2,185.51,25.27,19,3,2015-03-17 12:46:27,2015-03-18 00:36:17
14,a0:88:69:07:1e:67,185.84,23.94,19,3,2015-03-17 12:42:34,2015-03-18 00:32:44
15,34:23:ba:00:65:dd,181.31,113.91,19,12,2015-03-17 21:47:40,2015-03-18 00:25:18
16,3c:a9:f4:2a:41:08,188.01,91.51,19,10,2015-03-17 19:58:25,2015-03-18 00:45:53
17,3c:a9:f4:33:a5:64,191.35,91.9,20,10,2015-03-18 00:33:22,2015-03-18 00:43:45
18,24:77:03:79:b8:b0,177.7,167.59,18,17,2015-03-17 20:10:17,2015-03-17 20:10:17
19,a0:88:69:0b:9e:10,185.32,43.58,19,5,2015-03-17 13:07:03,2015-03-18 00:45:27
20,a0:88:69:04:38:28,186.87,20.87,19,3,2015-03-17 22:12:39,2015-03-18 00:45:09
21,a0:88:69:08:b1:b4,183.22,21.44,19,3,2015-03-17 17:41:42,2015-03-18 00:42:26
22,a0:88:69:0b:9e:6a,191.05,47.36,20,5,2015-03-17 21:42:37,2015-03-17 21:42:37
23,24:77:03:f6:9d:c8,180.6,143.78,19,15,2015-03-17 22:57:50,2015-03-18 00:44:03
24,24:77:03:8a:48:94,186.21,89.27,19,9,2015-03-18 00:27:56,2015-03-18 00:45:33
25,fe:45:9a:ae:85:50,186.46,109.77,19,11,2015-03-18 00:37:53,2015-03-18 00:37:53
26,14:99:e2:05:f8:69,183.14,44.51,19,5,2015-03-16 21:11:14,2015-03-18 00:45:33
27,00:27:22:32:e1:01,181.5,141.21,19,15,2015-03-11 02:48:23,2015-03-17 18:39:51
28,02:18:2a:d3:bb:c0,179.93,142.51,18,15,2015-03-09 22:49:58,2015-03-18 00:46:05
29,b8:78:2e:1a:55:7e,183.37,78.05,19,8,2015-03-17 07:32:46,2015-03-18 00:40:28
